FID,GEODB_OID,OBJECTID,TREEID,STATUS,SCIENTIFIC,COMMON_NAM,STATEID,ADDRESS,HEIGHT,SPREAD,CIRCUMFERE,DIAMETER,YEAR,OWNER,NOTES,NAME
1,1,1,1,Heritage,Ulmus americana,American elm,1S1E04AA  6200,1111 SW 10th AVE,78,105,12.1700000000,46,1973,Private,This tree was planted in front of the home of Martin and Rosetta Burrell in 1870 and is thus known as the 'Burrell Elm'.,DOWNTOWN
2,144,144,164,Heritage,Platanus x acerifolia,London planetree,1N1E26AC  12000,1728 NE STANTON ST,82,85,15.4400000000,59,1997,"Private, Front Yard",south side between NE 17th Ave and NE 18th Ave,IRVINGTON
3,2,2,2,Heritage,Platanus x acerifolia,London planetree,1S1E04AA  2100,NW/C SW PARK & SW MAIN ST,63,95,14.0000000000,53,1975,Right Of Way,This tree was planted beside the Sylvester Farrell house in 1880.,DOWNTOWN
4,145,145,165,Heritage,Sequoiadendron giganteum,Giant sequoia,1S2E06AC  16300,5511 SE HAWTHORNE BLVD,175,60,23.2500000000,89,1997,"Private, Side Yard",This tree can be found along SE 55th Ave at this address.,MT. TABOR
5,3,3,3,Heritage,Liriodendron tulipifera,Tulip tree,1N1E26DC  13500,1403 NE WEIDLER ST,72,65,15.5000000000,59,1993,"Private, Side Yard, Corner Lot","This tree is at the corner of NE 15th Ave and NE Weidler St, in an open patio area. It was planted near the George Nicolai home in the 1890s.",LLOYD DISTRICT
6,146,146,167,Heritage,Sequoia sempervirens,Coast redwood,1S1E12DB  3600,3381 SE FRANCIS ST,70,49,14.6000000000,56,1997,"Private, Rear Yard",This tree is most visible from SE 33rd Pl.,CRESTON-KENILWORTH
7,4,4,4,Heritage,Quercus garryana,Oregon white oak,1S1E01CD  1600,2137 SE 32nd PL,40,80,15.0000000000,57,1993,"Private, Side Yard",This tree is known as the Picnic Oak and is on the west side of the lot between SE Lincoln St and SE Grant St.,RICHMOND
8,147,147,168,Heritage,Acer palmatum,Japanese maple,1N1E33BC  11200,2367 NW KEARNEY ST,28,53,7.2500000000,28,1998,"Private, Front Yard","This tree is on the north side of the lot, between NW 24th Ave and NW 23rd Ave.",NORTHWEST DISTRICT
9,5,5,5,Heritage,Pinus nigra,Austrian pine,1S1E04BA 6800,COR JEFFERSON & SW 20TH,107,55,10.2000000000,39,1993,Right Of Way (Trimet),"This tree is located in a built out planter at the intersection and is believed to have been planted sometime in the late 19th century by Henry Miller, one of Portland’s first florists.",GOOSE HOLLOW
10,148,148,169,Heritage,Thuja plicata,Western redcedar,1S1E17DD  2600,6215 SW 27TH AVE,75,33,11.6000000000,44,1998,"Private, Rear Yard",This tree is only partially visible from the street.,HILLSDALE
11,6,6,6,Heritage,Cedrus libani ssp. libani,Cedar of Lebanon,1S1E04BA9 70000,2024 SW HOWARDS WAY,85,79,15.4000000000,59,1993,"Private, Side Yard",This tree is at the corner of SW Howards Way and SW 20th Ave.,GOOSE HOLLOW
12,149,149,170,Heritage,Carya ovata,Shagbark hickory,1S2E08AC  18400,7123 SE POWELL BLVD,47,47,6.0000000000,23,1998,"Private, Front Yard",north side between SE 71st Ave and SE 72nd Ave,SOUTH TABOR
13,7,7,7,Heritage,Fagus sylvatica,European beech,1N2E28DA  700,10115 NE THOMPSON ST,65,72,20.8000000000,79,1994,"Right Of Way, Unimproved",This tree is at the end of the street.,PARKROSE HEIGHTS
14,150,150,171,Heritage,Quercus garryana,Oregon white oak,1S1E22A   900,,102,72,17.0000000000,65,1998,"Public, Portland Parks & Rec","This tree is on the south end Willamette Park, adjacent to the child play area, and is known as the Revolution Oak.",SOUTH PORTLAND
15,8,8,8,Heritage,Quercus garryana,Oregon white oak,1N1E17BB  100,7168 N OLIN AVE,80,96,15.2000000000,58,1994,"Right Of Way, Unimproved",This tree is on the east side of the lot between N Stafford St and N Syracuse St.,UNIVERSITY PARK
16,151,151,172,Heritage,Ulmus x hollandica 'Hollandica',Dutch elm,1N1E33CD  7700,1150 SW KING AVE,97,74,13.7000000000,52,1998,"Private, Front Yard, ROW",This tree is Ulmus x hollandica 'Hollandica' and is at the corner of SW King Ave and SW Kings Ct.,GOOSE HOLLOW
17,9,9,9,Heritage,Quercus rubra,Northern red oak,1S1E04BD  12100,1961 SW VISTA AVE,100,105,21.1500000000,81,1994,"Private, Front Yard","This tree is deep in the front yard, but is still very visible, it was planted in the early 1920s by Dr. A.S. Nichols.",SOUTHWEST HILLS
18,152,152,173,Heritage,Fagus sylvatica f. purpurea,European beech,1S1E10BB  8700,2909 SW 2ND AVE,78,74,12.6000000000,48,1998,Portland Parks & Recreation (Lair Hill),"This tree is a variety of European Beech known as a Copper Beech, Fagus sylvatica f. purpurea.  This tree is at the corner of SW 2nd Ave and SW Hooker St, at the Carnegie Annex in Lair Hill Park.",SOUTH PORTLAND
19,10,10,10,Heritage,Quercus garryana,Oregon white oak,1N1E33BB  900,1310-1338 NW 23RD AVE,80,86,15.4000000000,59,1994,"Private, Side Yard","This tree is on the west end of the address block, around the corner on NW Overton.",NORTHWEST DISTRICT
20,153,153,174,Heritage,Carya ovata,Shagbark hickory,1S1E10BB  8600,3037 SW 2ND AVE,60,50,6.2000000000,24,1998,Portland Parks & Recreation,"This tree is in Lair Hill Park, on the east side, opposite Cedarwood School.",SOUTH PORTLAND
21,11,11,11,Heritage,Liriodendron tulipifera,Tulip tree,1N1E33CC  6900,2390 SW MADISON ST,80,55,15.6000000000,60,1994,"Private, Front Yard",south side between SW 23rd Ave and Washington Park,GOOSE HOLLOW
